-----------------------------------------------------------------
Monster Formation Packs $39222A-$392609 (248 packs, 4 bytes each)
-----------------------------------------------------------------
Byte 1-3  formations
Byte 4    set 16-bit formation byte
 00 - formations $00-$FF
 07 - formations $100-$1FF

00	Terrapin
	Malakoopa, Malakoopa, Tub-O-Troopa
	Malakoopa, Malakoopa, Tub-O-Troopa

EE	The Big Boo, The Big Boo, Orbison, Orbison
	The Big Boo, The Big Boo, Orbison, Orbison
	The Big Boo, The Big Boo, Orbison, Orbison

EF	Sling Shy, Sling Shy, Sling Shy, Sling Shy, Sling Shy
	Sling Shy, Sling Shy, Sling Shy, Sling Shy, Sling Shy
	Sling Shy, Sling Shy, Sling Shy, Sling Shy, Sling Shy

F0	Chewy, Chewy, Shy Away, Shy Away
	Chewy, Chewy, Shy Away, Shy Away
	Chewy, Chewy, Shy Away, Shy Away

F1	Mr.Kipper, Muckle, Muckle
	Mr.Kipper, Muckle, Muckle
	Mr.Kipper, Muckle, Muckle

F2	Amanita, Amanita, Orbison
	Amanita, Amanita, Orbison
	Amanita, Amanita, Orbison

F3	Greaper, Greaper, Glum Reaper
	Greaper, Greaper, Glum Reaper
	Greaper, Greaper, Glum Reaper

F4	Pyrosphere, Pyrosphere, Pyrosphere
	Pyrosphere, Pyrosphere, Pyrosphere
	Pyrosphere, Pyrosphere, Pyrosphere

F5	Lakitu, Lakitu, Lakitu
	Lakitu, Lakitu, Lakitu
	Lakitu, Lakitu, Lakitu

F6	Zeostar, Zeostar, Shaman, Shaman
	Zeostar, Zeostar, Shaman, Shaman
	Zeostar, Zeostar, Shaman, Shaman

F7	Shaman, Shaman, Shaman, Shaman, Shaman, Shaman
	Shaman, Shaman, Shaman, Shaman, Shaman, Shaman
	Shaman, Shaman, Shaman, Shaman, Shaman, Shaman

F8	--
	--
	--

F9	--
	--
	--

FA	--
	--
	--

FB	--
	--
	--

FC	--
	--
	--

FD	--
	--
	--

FE	--
	--
	--

FF	--
	--
	--
