------------
AREA OFFSETS
sorted alphabetically by ID
---------------------------

ID's preceded by ____ are unmapped and unused
ID's followed by *** are legitimate but unused/dummied

BYTE	SPRITE	LAYOUT	EXIT-F	ATTRIB	MAPL	AREA ID
[14A]	14CB5E	1D1774	1D4192	20F4C0	<11>	Mushroom Kingdom Castle during Mack, Guest room
[145]	14CA11	1D171A	1D412F	20F479	<11>	Mushroom Kingdom Castle during Mack, Main Hall
[147]	14CACF	1D173E	1D4153	20F4AB	<11>	Mushroom Kingdom Castle during Mack, stairwell to Toadstool's Room
[146]	14CA56	1D172C	1D4153	20F47C	<11>	Mushroom Kingdom Castle during Mack, Throne Room
[148]	14CAF4	1D1750	1D4165	20F4AE	<11>	Mushroom Kingdom Castle during Mack, Toadstool's Room
[14B]	14CB6B	1D1786	1D419B	20F4CF	<11>	Mushroom Kingdom Castle during Mack, Vault
[01E]	148ACA	1D025C	1D32E8	20E597	<11>	Mushroom Kingdom Castle, ___ ***
[015]	14886D	1D01BA	1D321F	20E512	<11>	Mushroom Kingdom Castle, branch room to Vault/Guest Room
[140]	14C924	1D16C0	1D40CC	20F459	<11>	Mushroom Kingdom Castle, Entrance to Throne room
[020]	148B17	1D0280	1D32E8	20E5A3	<11>	Mushroom Kingdom Castle, Entrance to Toadstool's room
[016]	148886	1D01CC	1D3231	20E51B	<11>	Mushroom Kingdom Castle, Guest room
[011]	14879A	1D0172	1D31E0	20E4E4	<11>	Mushroom Kingdom Castle, Main Hall
[013]	148824	1D0196	1D3204	20E500	<11>	Mushroom Kingdom Castle, Stair Room to Toadstool's room
[012]	1487D7	1D0184	1D31FB	20E4ED	<11>	Mushroom Kingdom Castle, Throne Room
[01D]	148A41	1D024A	1D32E8	20E58E	<11>	Mushroom Kingdom Castle, Throne Room (Princess returns)
[014]	148824	1D01A8	1D3216	20E503	<11>	Mushroom Kingdom Castle, Toadstool's room
[01F]	148ACA	1D026E	1D32E8	20E59A	<11>	Mushroom Kingdom Castle, Vault
[1E5]	14EB3A	1D225A	1D47DA	20FCFE	<1E>	Mushroom Kingdom during Mack, Inn (1F)
[1E4]	14EB15	1D2248	1D47D2	20FCE2	<1E>	Mushroom Kingdom during Mack, Item Shop (basement)
[1E3]	14EAF0	1D2236	1D47C1	20FCDF	<1E>	Mushroom Kingdom during Mack, Item Shop (top floor)
[1E0]	14EA85	1D2200	1D479F	20FCC5	<1E>	Mushroom Kingdom during Mack, jumping kid's house (1F)
[1E1]	14EAB2	1D2212	1D47B0	20FCC8	<1E>	Mushroom Kingdom during Mack, jumping kid's house (2F)
[0BE]	14AFDF	1D0D9C	1D3ADF	20EF77	<5A>	Mushroom Kingdom during Mack, Outside
[1E2]	14EAD7	1D2224	1D47B8	20FCCB	<1E>	Mushroom Kingdom during Mack, Raz and Raini's house
[1E7]	14EB94	1D227E	1D47EB	20FD09	<1E>	Mushroom Kingdom during Mack, running kid's house
[017]	14889F	1D01DE	1D323A	20E52A	<1C>	Mushroom Kingdom, before Croco, Outside
[1ED]	14EC4A	1D22EA	1D482F	20FD60	<1E>	Mushroom Kingdom, Inn (1F)
[034]	148F0F	1D03E8	1D3425	20E712	<1E>	Mushroom Kingdom, Inn (2F)
[1EC]	14EC25	1D22D8	1D4827	20FD44	<1E>	Mushroom Kingdom, Item Shop (basement)
[1EB]	14EC00	1D22C6	1D4816	20FD37	<1E>	Mushroom Kingdom, Item Shop (top floor)
[1E8]	14EBB1	1D2290	1D47F4	20FD18	<1E>	Mushroom Kingdom, jumping kid's house (1F)
[1E9]	14EBCE	1D22A2	1D4805	20FD25	<1E>	Mushroom Kingdom, jumping kid's house (2F)
[1EE]	14EC7F	1D22FC	1D4840	20FD68	<1E>	Mushroom Kingdom, jumping kid's house, no one there (1F)
[0BF]	14B04C	1D0DAE	1D3B21	20EF7A	<1C>	Mushroom Kingdom, Outside
[1EA]	14EBDB	1D22B4	1D480D	20FD28	<1E>	Mushroom Kingdom, Raz and Raini's house
[1EF]	14EC8C	1D230E	1D4840	20FD83	<1E>	Mushroom Kingdom, running kid's house
[0CB]	14B380	1D0E86	1D3C26	20F01C	<59>	Mushroom Way, Area 01
[0CC]	14B3D1	1D0E98	1D3C2F	20F025	<30>	Mushroom Way, Area 02
[0CD]	14B432	1D0EAA	1D3C41	20F044	<59>	Mushroom Way, Area 03
[06D]	149E3E	1D07EA	1D36F7	20EAFA	<3E>	Nimbus Castle, Area 01 (entrance hall)
[074]	149FE1	1D0868	1D3775	20EB39	<3E>	Nimbus Castle, Area 02 (left of Area 01)
[1F5]	14EE16	1D237A	1D48C7	20FDA7	<3E>	Nimbus Castle, Area 03 (4-way path)
[073]	149FB0	1D0856	1D3751	20EB30	<3E>	Nimbus Castle, Area 03 (4-way path, during Valentina)
[1F4]	14EDF1	1D2368	1D48AC	20FDA4	<3E>	Nimbus Castle, Area 04 (red brick path, left of 4-way path)
[06F]	149EC0	1D080E	1D3709	20EB0C	<3E>	Nimbus Castle, Area 04 (red brick path, left of 4-way path, during Valentina)
[1F3]	14EDA0	1D2356	1D487F	20FDA1	<3E>	Nimbus Castle, Area 05 (long 5-exit room, after Valentina)
[076]	14A07F	1D088C	1D3787	20EB6C	<3E>	Nimbus Castle, Area 05 (long 5-exit room, during Valentina)
[1F1]	14ED42	1D2332	1D4849	20FD95	<3F>	Nimbus Castle, Area 06 (left-most front door from Area 05)
[077]	14A0F0	1D089E	1D37B4	20EB6F	<3F>	Nimbus Castle, Area 06 (left-most front door from Area 05, during Valentina)
[19A]	14DB8E	1D1D14	1D44C7	20F956	<3F>	Nimbus Castle, Area 07 (straight from Area 06 w/long staircase)
[19E]	14DCA6	1D1D5C	1D44FD	20F96E	<3F>	Nimbus Castle, Area 08 (from Area 07, get Room Key 1 here)
[199]	14DB41	1D1C02	1D44B5	20F953	<3F>	Nimbus Castle, Area 09 (Birdo's Room, during Valentina)
[06B]	149D74	1D07C6	1D36A9	20EAE3	<3F>	Nimbus Castle, Area 09 (Statue Room, after Valentina)
[1F2]	14ED63	1D2344	1D4864	20FD9E	<3E>	Nimbus Castle, Area 10 (red brick 2-level room from Birdo's room)
[072]	149F63	1D0844	1D3736	20EB27	<3E>	Nimbus Castle, Area 10 (red brick 2-level room from Birdo's room, during Valentina)
[19C]	14DC0C	1D1D38	1D44E2	20F962	<3F>	Nimbus Castle, Area 11 (long hallway, door to King's Cellar)
[07A]	14A1EB	1D08D4	1D37CF	20EBAD	<3F>	Nimbus Castle, Area 12 (entrance to throne room)
[1B8]	14E1DE	1D1F30	1D464D	20FA72	<3F>	Nimbus Castle, Area 13 (Throne room, after Valentina)
[078]	14A141	1D08B0	1D37BD	20EB78	<3F>	Nimbus Castle, Area 13 (Throne Room, during Valentina)
[198]	14DAF0	1D1CF0	1D44B5	20F944	<3F>	Nimbus Castle, Area 14 (right-most front door of long 5-exit room) 
[075]	14A036	1D087A	1D377E	20EB4E	<3E>	Nimbus Castle, Area 15 (front of 4-way path, large right-angle room w/plant)
[071]	149F32	1D0832	1D372D	20EB1E	<3E>	Nimbus Castle, Area 16 (small two-door room w/treasure, from Area 15)
[070]	149F01	1D0820	1D3724	20EB0F	<3E>	Nimbus Castle, Area 17 (right of 4-way path, Save Point)
[06E]	149E9F	1D07FC	1D3700	20EB09	<3E>	Nimbus Castle, Area 18 (Dodo's statue-polishing room)
[19D]	14DC75	1D1D4A	1D44F4	20F96B	<3F>	Nimbus Castle, King's locked cellar
[19B]	14DBE7	1D1D26	1D44D9	20F959	<3F>	Nimbus Castle, path after Throne room (1st)
[079]	14A19A	1D08C2	1D37C6	20EB81	<3F>	Nimbus Castle, path after Throne Room (2nd)
[1B5]	14E11F	1D1EFA	1D45FE	20FA3F	<3F>	Nimbus Castle, path after Throne room (3rd)
[1F7]	14EE80	1D239E	1D48EB	20FDAD	<41>	Nimbus Land, Dream Cushion Dream: Heavy Troopa laying on Mario
[1F6]	14EE37	1D238C	1D48EB	20FDAA	<41>	Nimbus Land, Dream Cushion Dream: small cloud, person cheers on Mario/bed floats
[1F8]	14EEA5	1D23B0	1D48EB	20FDB0	<41>	Nimbus Land, Dream Cushion Dream: Tortes are seasoning Mario
[17E]	14D536	1D1B1C	1D437C	20F87A	<72>	Nimbus Land, entrance (no trampolines/exits)
[171]	14D281	1D1A32	1D4307	20F66A	<72>	Nimbus Land, entrance (w/warp trampoline)
[172]	14D29A	1D1A44	1D4307	20F685	<8F>	Nimbus Land, entrance to hot springs
[173]	14D2CF	1D1A56	1D4307	20F68E	<8F>	Nimbus Land, fall from platform (1st)
[174]	14D2DC	1D1A68	1D4307	20F69D	<8F>	Nimbus Land, fall from platform (2nd)
[175]	14D301	1D1A7A	1D4307	20F6B8	<8F>	Nimbus Land, fall from platform (3rd)
[176]	14D326	1D1A8C	1D4307	20F6C7	<8F>	Nimbus Land, fall from platform (4th)
[155]	14CD61	1D183A	1D41CE	20F594	<41>	Nimbus Land, Garro's House
[1BF]	14E2F0	1D1FAE	1D466F	20FACE	<8E>	Nimbus Land, hot springs
[157]	14CDEB	1D185E	1D41CE	20F5BF	<41>	Nimbus Land, Inn
[15A]	14CE82	1D1894	1D41D7	20F5DF	<41>	Nimbus Land, Inn (bedroom)
[158]	14CE1C	1D1870	1D41D7	20F5C8	<41>	Nimbus Land, Item Shop
[156]	14CDD2	1D184C	1D41CE	20F5B6	<41>	Nimbus Land, lower house
[1B6]	14E13C	1D1F0C	1D4610	20FA42	<33>	Nimbus Land, outside (after Valentina)
[1A0]	14DD18	1D1D80	1D450E	20F986	<33>	Nimbus Land, outside (before Valentina)
[03D]	14907F	1D048A	1D345D	20E7DB	<33>	Nimbus Land, outside (during Valentina right before fight)
[1AE]	14DFCE	1D1E7C	1D45E4	20FA19	<85>	Nimbus Land, outside (during Valentina)
[170]	14D24C	1D1A20	1D4307	20F661	<8F>	Nimbus Land, Royal Bus station
[19F]	14DD0B	1D1D6E	1D4506	20F971	<8B>	Nimbus Land, small platform after Nimbus Castle throne paths
[159]	14CE41	1D1882	1D41D7	20F5D6	<41>	Nimbus Land, top-right house (Croco drops Signal Ring)
[037]	148FA6	1D041E	1D342D	20E751	<40>	Pipe Vault Entrance
[07B]	14A224	1D08E6	1D37CF	20EBBC	<45>	Pipe Vault, Area 01
[092]	14A6CA	1D0A84	1D38AC	20ED76	<44>	Pipe Vault, Area 01 (messed tilemap) ***
[07F]	14A304	1D092E	1D37CF	20EC4F	<44>	Pipe Vault, Area 02
[07C]	14A255	1D08F8	1D37CF	20EBC4	<44>	Pipe Vault, Area 03 (line of pipes)
[07D]	14A26E	1D090A	1D37CF	20EBF4	<44>	Pipe Vault, Area 04 (line of coins, 2 hidden treasures)
[081]	14A3AE	1D0952	1D37CF	20ECB9	<44>	Pipe Vault, Area 05
[07E]	14A2D3	1D091C	1D37CF	20EC10	<44>	Pipe Vault, Area 06 (line of red pipes)
[080]	14A335	1D0940	1D37CF	20ECAC	<44>	Pipe Vault, Area 07 (long path w/moving platforms)
[08F]	14A637	1D0A4E	1D38A3	20ED61	<44>	Pipe Vault, Goomba-thumping room
[055]	1498C2	1D063A	1D35C6	20E93F	<2E>	Rose Town during Bowyer, Inn (1F)
[05F]	149B48	1D06EE	1D3614	20E9BD	<2E>	Rose Town during Bowyer, Inn (2F)
[053]	1497E0	1D0616	1D3557	20E8FA	<60>	Rose Town during Bowyer, outside
[059]	149A22	1D0682	1D35D7	20E981	<2E>	Rose Town during Bowyer, three grandkids' house
[05D]	149AD6	1D06CA	1D35F2	20E9B7	<2E>	Rose Town during Bowyer, treasure house (1F)
[061]	149B7A	1D0712	1D3624	20E9F3	<2E>	Rose Town during Bowyer, treasure house (2F)
[05B]	149A70	1D06A6	1D35E9	20E99F	<2E>	Rose Town, couple's house
[063]	149BB8	1D0736	1D3634	20EA35	<5E>	Rose Town, Geno Awakens in Inn (1F)
[056]	14990F	1D064C	1D35C6	20E968	<2E>	Rose Town, Inn (1F)
[060]	149B61	1D0700	1D361C	20E9D8	<2E>	Rose Town, Inn (2F)
[057]	149984	1D065E	1D35D7	20E96B	<2E>	Rose Town, Item Shop
[054]	14984D	1D0628	1D358A	20E937	<0B>	Rose Town, outside
[05A]	149A4B	1D0694	1D35E0	20E990	<2E>	Rose Town, three grandkids' house
[05E]	149B0F	1D06DC	1D3603	20E9BA	<2E>	Rose Town, treasure house (1F)
[062]	149B9F	1D0724	1D362C	20EA14	<2E>	Rose Town, treasure house (2F)
[042]	149247	1D04E4	1D34AC	20E858	<3B>	Rose Way, exit Area where Bowser's Troops gathered
[04F]	1496A8	1D05CE	1D3506	20E8E8	<5C>	Rose Way, main Area
[051]	149762	1D05F2	1D3533	20E8F4	<3B>	Rose Way, treasure chests w/coins Area
[050]	149735	1D05E0	1D352A	20E8F1	<3B>	Rose Way, two fast-floating platforms
[052]	1497AB	1D0604	1D3545	20E8F7	<3B>	Rose Way, winding path w/Crooks
[087]	14A488	1D09BE	1D3840	20ECF8	<42>	Sea, Area 01 (entrance)
[082]	14A3CF	1D0964	1D37CF	20ECDF	<42>	Sea, Area 02 (large room with shop)
[086]	14A44F	1D09AC	1D382E	20ECF5	<9B>	Sea, Area 03 (super star room)
[083]	14A3E8	1D0976	1D37E9	20ECEC	<9B>	Sea, Area 04 (bunch of Zeostars)
[084]	14A405	1D0988	1D3803	20ECEF	<42>	Sea, Area 05 (from Area 02 w/save point)
[085]	14A426	1D099A	1D3814	20ECF2	<42>	Sea, Area 06 (water room w/whirlpools)
[088]	14A495	1D09D0	1D3849	20ECFB	<42>	Sea, Area 07 (small underwater room)
[0AE]	14AD33	1D0C7C	1D39B6	20EEB2	<19>	Sea, Area 08 (shore with Sunken Ship)
[0D9]	14B612	1D0F82	1D3D2A	20F0EA	<1F>	Seaside Town during Yaridovich, Accessory Shop (right-most)
[13B]	14C7FB	1D1666	1D4096	20F44A	<69>	Seaside Town during Yaridovich, Beach
[0D5]	14B5C2	1D0F3A	1D3CFD	20F0DE	<1F>	Seaside Town during Yaridovich, Beetles Are Us/Bomb Shop
[0D3]	14B5A8	1D0F16	1D3CE4	20F0C0	<1F>	Seaside Town during Yaridovich, Elder's House (1F)
[0D4]	14B5B5	1D0F28	1D3CF5	20F0C3	<1F>	Seaside Town during Yaridovich, Elder's House (2F)
[0D7]	14B5F4	1D0F5E	1D3D18	20F0E4	<1F>	Seaside Town during Yaridovich, Health Food Store (left-most)
[0D1]	14B582	1D0EF2	1D3CCB	20F0A2	<1F>	Seaside Town during Yaridovich, Inn (1F)
[0D2]	14B59B	1D0F04	1D3CDC	20F0A5	<1F>	Seaside Town during Yaridovich, Inn (2F)
[0D8]	14B601	1D0F70	1D3D21	20F0E7	<1F>	Seaside Town during Yaridovich, Mushroom Boy Shop (middle)
[0D0]	14B539	1D0EE0	1D3C6B	20F09F	<07>	Seaside Town during Yaridovich, Outside
[0DA]	14B61F	1D0F94	1D3D33	20F0ED	<1F>	Seaside Town during Yaridovich, Shed (unused b/c inaccessible)
[0D6]	14B5D3	1D0F4C	1D3D06	20F0E1	<1F>	Seaside Town during Yaridovich, Weapons and Armor Shop
[139]	14C78D	1D1642	1D4084	20F444	<1F>	Seaside Town, Accessory Shop
[13C]	14C848	1D1678	1D409F	20F44D	<69>	Seaside Town, Beach
[135]	14C70D	1D15FA	1D4057	20F438	<1F>	Seaside Town, Beetles Are Us
[133]	14C6F3	1D15D6	1D403E	20F41A	<1F>	Seaside Town, Elder's house (1F)
[134]	14C700	1D15E8	1D404F	20F41D	<1F>	Seaside Town, Elder's house (2F)
[137]	14C75B	1D161E	1D4072	20F43E	<1F>	Seaside Town, Health Food Store
[131]	14C6C1	1D15B2	1D4025	20F3FC	<1F>	Seaside Town, Inn (1F)
[132]	14C6E6	1D15C4	1D4036	20F3FF	<1F>	Seaside Town, Inn (2F)
[138]	14C774	1D1630	1D407B	20F441	<1F>	Seaside Town, Mushroom Boy's Shop
[130]	14C6B4	1D15A0	1D4004	20F3CF	<6C>	Seaside Town, Outside
[13A]	14C7A6	1D1654	1D408D	20F447	<1F>	Seaside Town, Shed
[136]	14C732	1D160C	1D4060	20F43B	<1F>	Seaside Town, Weapon and Armor shop
[1B4]	14E11F	1D1EE8	1D45FE	20FA3C	<86>	Smithy Factory, ___ ***
[1BC]	14E2D6	1D1F78	1D466F	20FAB9	<49>	Smithy Factory, ___ ***
[15E]	14CF8E	1D18DC	1D41E0	20F601	<86>	Smithy Factory, Area 01
[0DC]	14B669	1D0FB8	1D3D3C	20F0F3	<47>	Smithy Factory, Area 02 (w/save point)
[0DE]	14B6AF	1D0FDC	1D3D6E	20F105	<47>	Smithy Factory, Area 03 (Glum Reapers)
[0DD]	14B686	1D0FCA	1D3D55	20F102	<86>	Smithy Factory, Area 04 (green switch w/Ameboids)
[0ED]	14BAE5	1D10EA	1D3DCD	20F1FC	<86>	Smithy Factory, Area 05 (w/save point)
[0EF]	14BB2F	1D110E	1D3DDF	20F202	<86>	Smithy Factory, Area 06 (Ultra Hammer)
[0DF]	14B728	1D0FEE	1D3D7F	20F144	<46>	Smithy Factory, Area 07 (Count Down's room)
[1B1]	14E078	1D1EB2	1D45ED	20FA27	<46>	Smithy Factory, Area 07 (Count Down's room, after defeat)
[1FB]	14EF88	1D23E6	1D48EB	20FDB9	<86>	Smithy Factory, Area 08 (Trampoline after Count Down)
[1B2]	14E091	1D1EC4	1D45ED	20FA2A	<49>	Smithy Factory, Area 09 (falling Axem Reds on conveyor belts)
[1BD]	14E2D6	1D1F8A	1D466F	20FABC	<86>	Smithy Factory, Area 10 (fall from Area 09)
[1BA]	14E274	1D1F54	1D465F	20FA8A	<49>	Smithy Factory, Area 11 (conveyor belts spawning Drill Bits and Macks)
[1DB]	14E994	1D21A6	1D4750	20FC86	<90>	Smithy Factory, Area 12 (lots of consecutive conveyor belts and LIL~BOOS)
[1D9]	14E932	1D2182	1D4735	20FC65	<90>	Smithy Factory, Area 13 (Bowyers falling down conveyor belts)
[1FC]	14EF95	1D23F8	1D48F3	20FDBC	<86>	Smithy Factory, Area 14 (w/save point)
[1DA]	14E967	1D2194	1D4747	20FC72	<90>	Smithy Factory, Area 15 (falling Yaridovichs)
[1BB]	14E2BD	1D1F66	1D466F	20FAB1	<49>	Smithy Factory, Area 16 (small room w/two treasures after falling Yaridovich room)
[067]	149D08	1D077E	1D3685	20EAB3	<49>	Smithy Factory, Area 17 (Domino and Cloaker's room)
[0EE]	14BB22	1D10FC	1D3DDF	20F1FF	<86>	Smithy Factory, fall from lugnut rooms (Area 06 & prior)
[058]	1499CD	1D0670	1D35D7	20E97E	<91>	Smithy's Final Form Defeat: Geno's Redemption
[091]	14A6B1	1D0A72	1D38AC	20ED67	<99>	Star Hill, Area 01
[09E]	14A9FC	1D0B5C	1D38CC	20EDFB	<64>	Star Hill, Area 02
[09D]	14A973	1D0B4A	1D38CC	20EDDB	<64>	Star Hill, Area 03
[09F]	14AA7D	1D0B6E	1D38CC	20EE1B	<64>	Star Hill, Area 04
[0AD]	14AD26	1D0C6A	1D39AD	20EEA9	<18>	Sunken Ship post-KC, Area 01 (small room w/Trampoline)
[0B4]	14AE71	1D0CE8	1D3A22	20EF11	<18>	Sunken Ship post-KC, Area 02 (small 2-level room)
[0B5]	14AE8A	1D0CFA	1D3A3D	20EF20	<18>	Sunken Ship post-KC, Area 03 (Alley Rats on cannons)
[0B2]	14AE27	1D0CC4	1D39FE	20EEFF	<18>	Sunken Ship post-KC, Area 04 (long stairwell w/running Alley Rats)
[0AF]	14AD7C	1D0C8E	1D39BF	20EED8	<18>	Sunken Ship post-KC, Area 05 (w/Dry Bones, linked by Mario mirror room)
[0B3]	14AE40	1D0CD6	1D3A10	20EF0E	<18>	Sunken Ship post-KC, Area 06 (Mario Mirror room)
[0B6]	14AECB	1D0D0C	1D3A58	20EF23	<18>	Sunken Ship post-KC, Area 07 (three Dry Bones)
[0B7]	14AEEC	1D0D1E	1D3A73	20EF32	<18>	Sunken Ship post-KC, Area 08 (secret room with Frog Coin)
[0B8]	14AEF9	1D0D30	1D3A7C	20EF35	<18>	Sunken Ship post-KC, Area 09 (Hidon's room w/save point)
[0BB]	14AF44	1D0D66	1D3AA0	20EF44	<67>	Sunken Ship post-KC, Area 10 (water room with frog coins)
[0BC]	14AF79	1D0D78	1D3ABB	20EF59	<67>	Sunken Ship post-KC, Area 11 (water room with whirlpool)
[01A]	14897E	1D0214	1D32A0	20E567	<67>	Sunken Ship post-KC, Area 12 (underwater room w/stairwell and Zeostars)
[01B]	1489A7	1D0226	1D32BB	20E570	<67>	Sunken Ship post-KC, Area 13 (large underwater room with a Bloober)
[0B9]	14AF1E	1D0D42	1D3A8E	20EF3E	<17>	Sunken Ship post-KC, Area 14 (secret Safety Ring)
[018]	148928	1D01F0	1D327C	20E555	<67>	Sunken Ship post-KC, Area 15 (Bandana Red room long stairwell)
[019]	14896D	1D0202	1D328E	20E55E	<67>	Sunken Ship post-KC, Area 16 (Entrance to Johnny's room)
[01C]	1489E0	1D0238	1D32D6	20E585	<6B>	Sunken Ship post-KC, Area 17 (Johnny's room)
[0BA]	14AF37	1D0D54	1D3A97	20EF41	<17>	Sunken Ship post-KC, Area 18 (warp room from Johnny's room)
[0AA]	14AC8C	1D0C34	1D399B	20EEA0	<17>	Sunken Ship, ___ ***
[0A0]	14AAF2	1D0B80	1D38CC	20EE2F	<17>	Sunken Ship, Area 01
[0A4]	14ABB2	1D0BC8	1D390B	20EE53	<17>	Sunken Ship, Area 02 (from entrance w/save point)
[0A1]	14AB0B	1D0B92	1D38DE	20EE3E	<17>	Sunken Ship, Area 03 (Greapers)
[0A2]	14AB2C	1D0BA4	1D38F0	20EE47	<17>	Sunken Ship, Area 04 (Greapers & Dry Bones)
[0A7]	14AC1D	1D0BFE	1D396E	20EE86	<17>	Sunken Ship, Area 05 (long stairwell with running Alley Rats)
[0A5]	14ABCB	1D0BDA	1D3914	20EE56	<17>	Sunken Ship, Area 06 (puzzle room passageway)
[0A9]	14AC67	1D0C22	1D3989	20EE91	<17>	Sunken Ship, Area 07 (puzzle room passageway branch room w/Shaman)
[0B0]	14ADAD	1D0CA0	1D39E3	20EEE7	<18>	Sunken Ship, Area 08 (w/save point and green switch for barrel)
[0B1]	14ADE2	1D0CB2	1D39F5	20EEF0	<18>	Sunken Ship, Area 09 (Password room)
[0A6]	14ABEC	1D0BEC	1D3965	20EE83	<17>	Sunken Ship, puzzle room 1
[0A3]	14AB65	1D0BB6	1D3902	20EE50	<17>	Sunken Ship, puzzle room 2
[0A8]	14AC42	1D0C10	1D3980	20EE8E	<17>	Sunken Ship, puzzle room 3
[0AB]	14AC8C	1D0C46	1D399B	20EEA3	<18>	Sunken Ship, puzzle room 4
[0AC]	14ACED	1D0C58	1D39A4	20EEA6	<18>	Sunken Ship, puzzle room 5
[04B]	149558	1D0586	1D34C4	20E8C0	<27>	Tadpole Pond, Area 01
[04A]	149517	1D0574	1D34BB	20E8B2	<2C>	Tadpole Pond, Area 02
[03F]	149115	1D04AE	1D3491	20E815	<6D>	Toadstool about to kiss Mario, Booster off to the right
[00F]	148714	1D014E	1D31D8	20E4C3	<68>	Vista Hill
[0F0]	14BB7C	1D1120	1D3DE8	20F217	<0E>	Volcano Post-CD ___ ***
[165]	14D081	1D195A	1D4238	20F63A	<0E>	Volcano Post-CD Area 01
[184]	14D65C	1D1B88	1D43E8	20F88C	<3D>	Volcano Post-CD Area 02
[16D]	14D1E1	1D19EA	1D42D1	20F652	<16>	Volcano Post-CD Area 03
[187]	14D71F	1D1BBE	1D441E	20F895	<3D>	Volcano Post-CD Area 04
[18A]	14D796	1D1BF4	1D444B	20F8A4	<3D>	Volcano Post-CD Area 05
[188]	14D738	1D1BD0	1D4430	20F898	<3D>	Volcano Post-CD Area 06
[189]	14D761	1D1BE2	1D4442	20F8A1	<3D>	Volcano Post-CD Area 07 (warp to World Map)
[0F1]	14BB7C	1D1132	1D3DE8	20F21A	<0E>	Volcano, ___ ***
[162]	14D01A	1D1924	1D4214	20F631	<0E>	Volcano, Area 01
[167]	14D0F7	1D197E	1D425C	20F640	<0E>	Volcano, Area 02
[163]	14D033	1D1936	1D421D	20F634	<0E>	Volcano, Area 03 (secret w/two flowers)
[168]	14D114	1D1990	1D4277	20F643	<0E>	Volcano, Area 04 (bunch of steps)
[180]	14D58C	1D1B40	1D438E	20F880	<16>	Volcano, Area 05
[181]	14D5C5	1D1B52	1D43A0	20F883	<16>	Volcano, Area 06
[16A]	14D16A	1D19B4	1D429B	20F649	<16>	Volcano, Area 07 (stomping Corkpedite)
[164]	14D064	1D1948	1D4226	20F637	<0E>	Volcano, Area 08
[169]	14D12D	1D19A2	1D4289	20F646	<0E>	Volcano, Area 09
[17F]	14D55F	1D1B2E	1D437C	20F87D	<16>	Volcano, Area 10 (jumping Pyrospheres)
[166]	14D0B6	1D196C	1D424A	20F63D	<0E>	Volcano, Area 11
[182]	14D5F2	1D1B64	1D43B2	20F886	<16>	Volcano, Area 12 (erupting Stumpet)
[16E]	14D1FA	1D19FC	1D42E3	20F65B	<16>	Volcano, Area 13 (w/save point)
[16C]	14D1B4	1D19D8	1D42BF	20F64F	<16>	Volcano, Area 14
[16B]	14D18F	1D19C6	1D42AD	20F64C	<16>	Volcano, Area 15 (stomping Corkpedite)
[186]	14D6DE	1D1BAC	1D440C	20F892	<3D>	Volcano, Area 16 (erupting Stumpet)
[16F]	14D217	1D1A0E	1D42F5	20F65E	<16>	Volcano, Area 17 (leads to Hinopio's Shop)
[161]	14CFF9	1D1912	1D4202	20F60A	<74>	Volcano, Area 18 (Hino Mart)
[183]	14D643	1D1B76	1D43D6	20F889	<3D>	Volcano, Area 19 (from Hino Mart w/save point)
[185]	14D691	1D1B9A	1D43FA	20F88F	<3D>	Volcano, Area 20 (jumping Pyrospheres)
[160]	14CFB8	1D1900	1D41F0	20F607	<0E>	Volcano, Area 21 (Czar Dragon's room)
[1FE]	14F017	1D241C	1D4905	20FDC2	<2A>	World Map to Mario's Pad
[022]	148B3D	1D02A4	1D3303	20E5AE	<37>	Yo'ster Isle
[021]	148B24	1D0292	1D32FA	20E5A6	<40>	Yo'ster Isle, entrance from Pipe Vault
