--------------------------------
OBJECT STRUCTURES (4 bytes each)
--------------------------------
OBJECT   = pointers to palettes/sprites & animations/molds
	   byte 1,2  palette/GFX pointer
	   (bytes AND #$01FF) * 4 + 251800 = offset of pointers
	   byte 3,4  mold + animation sequence pointer

PTRS --- = pointers to whatever follows the ---
PAL      = object's palette
MOLD     = object's mold
GFX      = object's uncompressed sprite graphics

   ///==========\
 ///  CHARACTERS |
=======================================================================
OBJECT   PTRS --- PAL ---- GFX      PTRS --- MOLD     BYTE    OBJECT ID
----------------------------------------------------------------------------------------
250000 | 251C78 | 257998 | 30C4C0 | 2522CD | 27E606 | [000] | Mario (walking, down-left)
25040C | 251C0C | 257344 | 2F4CA0 | 252060 | 25D60E | [103] | Mad Mallet
250410 | 25180C | 25314A | 281B40 | 25200F | 25993E | [104] | Shaman
250414 | 251810 | 2531C2 | 2828A0 | 252012 | 259B99 | [105] | Crook
250418 | 251814 | 253294 | 283140 | 252015 | 259CEE | [106] | Goomba
25041C | 251818 | 2532D0 | 283FE0 | 252018 | 259E9D | [107] | Piranha Plant
250420 | 251860 | 253B40 | 291700 | 25201B | 25A0A1 | [108] | Amanita
250424 | 25181C | 25332A | 286500 | 25201E | 25A1E8 | [109] | Goby
250428 | 251820 | 2533C0 | 286E60 | 252021 | 25A325 | [10A] | Bloober
25042C | 251824 | 253456 | 287A40 | 252024 | 25A4D8 | [10B] | Bandana Red
250430 | 251C50 | 2577D6 | 302360 | 252027 | 25A6FE | [10C] | Lakitu
250434 | 251828 | 2534B0 | 288380 | 25202A | 25AB66 | [10D] | Birdy
250438 | 25182C | 253528 | 288F40 | 25202D | 25AE58 | [10E] | Pinwheel
25043C | 251830 | 253582 | 289CA0 | 252030 | 25B004 | [10F] | Rat Funk
250440 | 251834 | 253654 | 28A660 | 252033 | 25B21F | [110] | K-9
250444 | 25186C | 253BF4 | 293F00 | 25205D | 25D2F4 | [111] | Magmite
250448 | 251838 | 2536AE | 28B3C0 | 252036 | 25B51B | [112] | The Big Boo
25044C | 251864 | 253B7C | 292380 | 252039 | 25B6ED | [113] | Dry Bones
250450 | 25183C | 253708 | 28BD00 | 25203C | 25B975 | [114] | Greaper
250454 | 251840 | 253762 | 28CAA0 | 25203F | 25BBDE | [115] | Sparky
250458 | 251C04 | 2572AE | 2F3520 | 252042 | 25BDB3 | [116] | Chomp
25045C | 2518A8 | 254158 | 29F040 | 252096 | 26245C | [117] | Pandorite
250460 | 251C44 | 25777C | 300000 | 25215C | 271117 | [118] | Shy Ranger
250464 | 251844 | 2537BC | 28D3C0 | 25204B | 25C45F | [119] | Bob-Omb
250468 | 251C18 | 25748E | 2F7A60 | 2520E4 | 269C54 | [11A] | Spookum
25046C | 251928 | 2549C8 | 2B4820 | 252162 | 27175C | [11B] | Hammer Bro
250470 | 25185C | 253AE6 | 291100 | 252051 | 25C644 | [11C] | Buzzer
250474 | 251854 | 2539BA | 290000 | 252054 | 25C80E | [11D] | Ameboid
250478 | 2518E4 | 2545EA | 2AB600 | 252057 | 25CA89 | [11E] | Gecko
25047C | 251868 | 253BB8 | 293000 | 25205A | 25CCFC | [11F] | Wiggler
250480 | 251884 | 253E4C | 297040 | 252078 | 25F461 | [120] | Crusty
250484 | 251930 | 254A9A | 2B5EC0 | 2520EA | 269FE9 | [121] | Magikoopa
250488 | 251848 | 25388E | 28DBC0 | 252066 | 25D90A | [122] | Leuko
25048C | 2518FC | 254716 | 2AF280 | 25210B | 26C3B9 | [123] | Jawful
250490 | 2518A4 | 2540FE | 29EB80 | 252093 | 261C90 | [124] | Enigma
250494 | 2518EC | 25469E | 2ACCC0 | 2520F0 | 26AF0D | [125] | Blaster
250498 | 251910 | 254806 | 2B20A0 | 252138 | 26F267 | [126] | Guerrilla
25049C | 251888 | 253EE2 | 2984E0 | 25207B | 25F83E | [127] | Baba Yaga
2504A0 | 251874 | 253CE4 | 294B00 | 252069 | 25DB91 | [128] | Hobgoblin
2504A4 | 2518B8 | 254284 | 2A1960 | 2520A8 | 263BF2 | [129] | Reacher
2504A8 | 2518CC | 254428 | 2A5A00 | 2520B7 | 2654DC | [12A] | Shogun
2504AC | 251880 | 253DF2 | 2964E0 | 252072 | 25E6E7 | [12B] | Orb User
2504B0 | 25184C | 253924 | 28E560 | 252081 | 2608E7 | [12C] | Heavy Troopa
2504B4 | 251878 | 253D3E | 295200 | 25206C | 25DF49 | [12D] | Shadow
2504B8 | 25194C | 254D4C | 2B9960 | 252186 | 27387F | [12E] | Cluster
2504BC | 2518C0 | 25431A | 2A3060 | 25207E | 260000 | [12F] | Bahamutt
2504C0 | 25190C | 2547CA | 2B16C0 | 25212F | 26EBC5 | [130] | Octolot
2504C4 | 25187C | 253D98 | 295CE0 | 25206F | 25E1E0 | [131] | Frogog
2504C8 | 2518D0 | 254482 | 2A5F40 | 2520BA | 26590B | [132] | Clerk
2504CC | 251C38 | 25768C | 2FE640 | 252189 | 274020 | [133] | Gunyolk
2504D0 | 2518BC | 2542DE | 2A2540 | 2520AB | 263E33 | [134] | Boomer
2504D4 | 251850 | 253960 | 28F1C0 | 252075 | 25EBC8 | [135] | Remo Con
2504D8 | 2518B0 | 2541EE | 2A0200 | 2520A2 | 262E1C | [136] | Snapdragon
2504DC | 25189C | 254086 | 29D020 | 25208A | 2613A2 | [137] | Stumpet
2504E0 | 251C14 | 257470 | 2F6B80 | 2520DE | 268B14 | [138] | Dodo (2nd time)
2504E4 | 251894 | 253FD2 | 29B380 | 252084 | 260BDA | [139] | Jester
2504E8 | 251898 | 25402C | 29BC00 | 252087 | 260FBE | [13A] | Artichoker
2504EC | 2518D4 | 2544DC | 2A73A0 | 2520C3 | 266250 | [13B] | Arachne
2504F0 | 251914 | 254860 | 2B2BE0 | 252141 | 270000 | [13C] | Carroboscis
2504F4 | 2518C4 | 254374 | 2A4080 | 2520B1 | 2647D5 | [13D] | Hippopo
2504F8 | 2518C8 | 2543CE | 2A4E20 | 2520B4 | 264E42 | [13E] | Mastadoom
2504FC | 251890 | 253F78 | 29A380 | 2520AE | 264415 | [13F] | Corkpedite
250500 | 251BFC | 257218 | 2F1180 | 252003 | 25901F | [140] | Terra Cotta
250504 | 251804 | 25303C | 280080 | 252009 | 259484 | [141] | Spikester
250508 | 251C00 | 257272 | 2F2640 | 25200C | 2596B5 | [142] | Malakoopa
25050C | 251C0C | 257362 | 2F4CA0 | 252060 | 25D60E | [143] | Pounder
250510 | 251C0C | 257380 | 2F4CA0 | 252060 | 25D60E | [144] | Poundette
250514 | 251810 | 2531E0 | 2828A0 | 252012 | 259B99 | [145] | Sackit
250518 | 251814 | 2532B2 | 283140 | 252015 | 259CEE | [146] | Gu Goomba
25051C | 251818 | 2532EE | 283FE0 | 252018 | 259E9D | [147] | Chewy
250520 | 251840 | 253780 | 28CAA0 | 25203F | 25BBDE | [148] | Fireball
250524 | 25181C | 253348 | 286500 | 25201E | 25A1E8 | [149] | Mr.Kipper
250528 | 251940 | 254B8A | 2B7B00 | 252177 | 27289C | [14A] | Factory Chief
25052C | 251824 | 253474 | 287A40 | 252024 | 25A4D8 | [14B] | Bandana Blue
250530 | 2518D0 | 2544A0 | 2A5F40 | 2520BA | 26590B | [14C] | Manager
250534 | 251828 | 2534CE | 288380 | 25202A | 25AB66 | [14D] | Bluebird
250538 | 251800 | 253000 | 280000 | 252000 | 259000 | [14E] | __nothing
25053C | 251830 | 2535A0 | 289CA0 | 252030 | 25B004 | [14F] | Alley Rat
250540 | 251834 | 253672 | 28A660 | 252033 | 25B21F | [150] | Chow
250544 | 25186C | 253C12 | 293F00 | 25205D | 25D2F4 | [151] | Magmus
250548 | 251838 | 2536CC | 28B3C0 | 252036 | 25B51B | [152] | Li~L Boo
25054C | 251864 | 253B9A | 292380 | 252039 | 25B6ED | [153] | Vomer
250550 | 25183C | 253726 | 28BD00 | 25203C | 25B975 | [154] | Glum Reaper
250554 | 251840 | 253762 | 28CAA0 | 25203F | 25BBDE | [155] | Pyrosphere
250558 | 251C04 | 2572EA | 2F3520 | 252042 | 25BDB3 | [156] | Chomp Chomp
25055C | 2518A8 | 254176 | 29F040 | 252099 | 262626 | [157] | Hidon
250560 | 251C44 | 25775E | 300000 | 25215C | 271117 | [158] | Sling Shy
250564 | 251844 | 2537DA | 28D3C0 | 25204B | 25C45F | [159] | Rob-Omb
250568 | 251C44 | 257740 | 300000 | 25215C | 271117 | [15A] | Shy Guy
25056C | 251940 | 254B6C | 2B7B00 | 252177 | 27289C | [15B] | Ninja
250570 | 25185C | 253B04 | 291100 | 252051 | 25C644 | [15C] | Stinger
250574 | 251870 | 253CC6 | 2946C0 | 252063 | 25D7E7 | [15D] | Goombette
250578 | 2518E4 | 254608 | 2AB600 | 252057 | 25CA89 | [15E] | Geckit
25057C | 251938 | 254B12 | 2B6B60 | 252171 | 27255E | [15F] | Jabit
250580 | 251884 | 253E6A | 297040 | 252078 | 25F461 | [160] | Star Cruster
250584 | 251930 | 254AB8 | 2B5EC0 | 2520EA | 269FE9 | [161] | Merlin
250588 | 251848 | 2538AC | 28DBC0 | 252066 | 25D90A | [162] | Muckle
25058C | 2518FC | 254734 | 2AF280 | 25210B | 26C3B9 | [163] | Forkies
250590 | 2518A4 | 25411C | 29EB80 | 252093 | 261C90 | [164] | Gorgon
250594 | 2518EC | 25469E | 2ACCC0 | 2520F0 | 26AF0D | [165] | Big Bertha
250598 | 251910 | 254824 | 2B20A0 | 252138 | 26F267 | [166] | Chained Kong
25059C | 251888 | 253F00 | 2984E0 | 25207B | 25F83E | [167] | Fautso
2505A0 | 251874 | 253D02 | 294B00 | 252069 | 25DB91 | [168] | Straw Head
2505A4 | 2518B8 | 2542A2 | 2A1960 | 2520A8 | 263BF2 | [169] | Juju
2505A8 | 2518CC | 254446 | 2A5A00 | 2520B7 | 2654DC | [16A] | Armored Ant
2505AC | 251880 | 253E10 | 2964E0 | 252072 | 25E6E7 | [16B] | Orbison
2505B0 | 25184C | 253942 | 28E560 | 252081 | 2608E7 | [16C] | Tub-O-Troopa
2505B4 | 251878 | 253D5C | 295200 | 25206C | 25DF49 | [16D] | Doppel
2505B8 | 25194C | 254D6A | 2B9960 | 252186 | 27387F | [16E] | Pulsar
2505BC | 2518C0 | 254338 | 2A3060 | 252183 | 272FA9 | [16F] | __purple Bahamutt
2505C0 | 25190C | 2547E8 | 2B16C0 | 25212F | 26EBC5 | [170] | Octovader
2505C4 | 25187C | 253DB6 | 295CE0 | 25206F | 25E1E0 | [171] | Ribbite
2505C8 | 2518D0 | 2544BE | 2A5F40 | 2520BA | 26590B | [172] | Director
2505CC | 251C38 | 2576AA | 2FE640 | 252189 | 274020 | [173] | __Gunyolk (yellow)
2505D0 | 2518BC | 2542FC | 2A2540 | 2520AB | 263E33 | [174] | __Boomer (blue)
2505D4 | 251850 | 25397E | 28F1C0 | 252075 | 25EBC8 | [175] | Puppox
2505D8 | 2518B0 | 25420C | 2A0200 | 2520A2 | 262E1C | [176] | Fink Flower
2505DC | 25189C | 2540A4 | 29D020 | 25208A | 2613A2 | [177] | Lumbler
2505E0 | 2518E8 | 254662 | 2AC320 | 25216B | 271F3C | [178] | Springer
2505E4 | 251894 | 253FF0 | 29B380 | 252084 | 260BDA | [179] | Harlequin
2505E8 | 251898 | 25404A | 29BC00 | 252087 | 260FBE | [17A] | Kriffid
2505EC | 2518D4 | 2544FA | 2A73A0 | 2520C3 | 266250 | [17B] | Spinthra
2505F0 | 251914 | 25487E | 2B2BE0 | 252141 | 270000 | [17C] | Radish
2505F4 | 2518C4 | 254392 | 2A4080 | 2520B1 | 2647D5 | [17D] | Crippo
2505F8 | 2518C8 | 2543EC | 2A4E20 | 2520B4 | 264E42 | [17E] | Mastablasta
2505FC | 251890 | 253F96 | 29A380 | 2520AE | 264415 | [17F] | Pile Driver
250600 | 251C18 | 25748E | 2F7A60 | 2520E4 | 269C54 | [180] | Apprentice
250604 | 251800 | 253000 | 280000 | 252000 | 259000 | [181] | __nothing
250608 | 251800 | 253000 | 280000 | 252000 | 259000 | [182] | __nothing
25060C | 251800 | 253000 | 280000 | 252000 | 259000 | [183] | __nothing
250610 | 251998 | 255292 | 2C16E0 | 2521F2 | 27B158 | [184] | __Geno redemption
250614 | 2519DC | 255562 | 2C43A0 | 25222E | 27C092 | [185] | __little bird
250618 | 2518A8 | 254194 | 29F040 | 25209C | 2628E8 | [186] | Box Boy
25061C | 251924 | 2549AA | 2B3FC0 | 252159 | 270E33 | [187] | Shelly
250620 | 251804 | 25301E | 280080 | 252009 | 259484 | [188] | Super Spike
250624 | 251C14 | 257470 | 2F6B80 | 2520DE | 268B14 | [189] | Dodo
250628 | 251804 | 25305A | 280080 | 252009 | 259484 | [18A] | Oerlikon
25062C | 2518A8 | 2541B2 | 29F040 | 25209F | 262B23 | [18B] | Chester
250630 | 251890 | 253F78 | 29A380 | 2520FF | 26BEEA | [18C] | Body
250634 | 251890 | 253F96 | 29A380 | 2520FF | 26BEEA | [18D] | __Pile Driver (body)
250638 | 251904 | 25478E | 2B0620 | 25211D | 26DFDF | [18E] | Torte
25063C | 251C4C | 2577B8 | 301800 | 25215F | 271478 | [18F] | Shy Away
250640 | 251C10 | 257416 | 2F5A40 | 2520C6 | 26673D | [190] | Jinx Clone
250644 | 2518E8 | 254680 | 2AC320 | 25216B | 271F3C | [191] | Machine Made (Shyster)
250648 | 251938 | 254B30 | 2B6B60 | 252171 | 27255E | [192] | Machine Made (Drill Bit)
25064C | 25198C | 255238 | 2C10A0 | 2521DD | 27AC94 | [193] | Formless
250650 | 251800 | 253000 | 280000 | 252000 | 259000 | [194] | Mokura
250654 | 251800 | 253000 | 280000 | 252000 | 259000 | [195] | Fire Crystal
250658 | 251800 | 253000 | 280000 | 252000 | 259000 | [196] | Water Crystal
25065C | 251800 | 253000 | 280000 | 252000 | 259000 | [197] | Earth Crystal
250660 | 251800 | 253000 | 280000 | 252000 | 259000 | [198] | Wind Crystal
250664 | 251C78 | 257998 | 30C4C0 | 2522CD | 27E606 | [199] | Mario Clone
250668 | 251C9C | 257CA4 | 314000 | 2522E8 | 27FB9B | [19A] | Toadstool 2
25066C | 251CA4 | 257DD0 | 318200 | 2522FA | 360D58 | [19B] | Bowser Clone
250670 | 251CC0 | 258046 | 3204A0 | 25231E | 36339E | [19C] | Geno Clone
250674 | 251CC8 | 2581AE | 324CE0 | 25230C | 362425 | [19D] | Mallow Clone
250678 | 2518E8 | 254644 | 2AC320 | 25216B | 271F3C | [19E] | Shyster
25067C | 251934 | 254AD6 | 2B6780 | 25216E | 2721CD | [19F] | Kinklink
250680 | 251CB0 | 257F56 | 31F940 | 25241A | 3694F2 | [1A0] | __Toadstool (captive)
250684 | 251988 | 25521A | 2C0D00 | 2521CB | 279C45 | [1A1] | Hangin~ Shy
250688 | 251978 | 2550EE | 2BF4E0 | 2521D1 | 27A1EA | [1A2] | Smelter
25068C | 251C58 | 25788A | 304920 | 2520F3 | 26B0EA | [1A3] | Machine Made (Mack)
250690 | 251C54 | 25784E | 303220 | 2520ED | 26A3B7 | [1A4] | Machine Made (Bowyer)
250694 | 2518E0 | 2545CC | 2AA3C0 | 2520E1 | 2691AF | [1A5] | Machine Made (Yaridovich)
250698 | 251964 | 254F0E | 2BCB20 | 2521B3 | 2785D6 | [1A6] | Machine Made (Axem Pink)
25069C | 251960 | 254E96 | 2BC160 | 2521B0 | 2782AC | [1A7] | Machine Made (Axem Black)
2506A0 | 25195C | 254E1E | 2BB6E0 | 2521AD | 277FC6 | [1A8] | Machine Made (Axem Red)
2506A4 | 251968 | 254FA4 | 2BD4A0 | 2521B6 | 2789BB | [1A9] | Machine Made (Axem Yellow)
2506A8 | 25196C | 25501C | 2BDFE0 | 2521B9 | 278D67 | [1AA] | Machine Made (Axem Green)
2506AC | 251814 | 253294 | 283140 | 252015 | 259CEE | [1AB] | Goomba (Intro)
2506B0 | 251928 | 2549C8 | 2B4820 | 252162 | 27175C | [1AC] | Hammer Bro (Intro)
2506B4 | 251920 | 25498C | 2B3860 | 252156 | 270A60 | [1AD] | Birdo (Intro)
2506B8 | 251948 | 254C7A | 2B9140 | 25217D | 272DD4 | [1AE] | Bb-Bomb
2506BC | 2518D8 | 254554 | 2A7CC0 | 2520D2 | 2671A2 | [1AF] | Magidragon
2506C0 | 25192C | 254A04 | 2B5060 | 252168 | 271CF2 | [1B0] | Starslap
2506C4 | 2518A0 | 2540E0 | 29DD60 | 25208D | 26168C | [1B1] | Mukumuku
2506C8 | 25192C | 254A40 | 2B5060 | 252168 | 271CF2 | [1B2] | Zeostar
2506CC | 251BFC | 2571FA | 2F1180 | 252003 | 25901F | [1B3] | Jagger
2506D0 | 251918 | 254932 | 2B3640 | 252147 | 2708F1 | [1B4] | Chompweed
2506D4 | 251C74 | 25797A | 30B3A0 | 2521D7 | 27A542 | [1B5] | Smithy (Tank Head)
2506D8 | 251C48 | 25779A | 300FA0 | 2521D4 | 27A476 | [1B6] | Smithy (Box Head)
2506DC | 251890 | 253F78 | 29A380 | 2520AE | 264415 | [1B7] | __Corkpedite
2506E0 | 251948 | 254C7A | 2B9140 | 25217D | 272DD4 | [1B8] | Microbomb
2506E4 | 251C08 | 257308 | 2F42C0 | 252111 | 26CEA3 | [1B9] | __Thwomp
2506E8 | 251890 | 253F78 | 29A380 | 2520FF | 26BEEA | [1BA] | Grit
2506EC | 251980 | 2551DE | 2C0000 | 2521DA | 27AA57 | [1BB] | Neosquid
2506F0 | 251800 | 253000 | 280000 | 252000 | 259000 | [1BC] | Yaridovich (mirage)
2506F4 | 25199C | 255364 | 2C19A0 | 2521FB | 27B2B8 | [1BD] | Helio
2506F8 | 251980 | 2551DE | 2C0000 | 2521C2 | 279619 | [1BE] | Right Eye
2506FC | 251980 | 2551DE | 2C0000 | 2521C5 | 279888 | [1BF] | Left Eye
250700 | 2518DC | 254572 | 2A91A0 | 2520D5 | 2676CB | [1C0] | Knife Guy
250704 | 2518DC | 254590 | 2A91A0 | 2520D8 | 267D0B | [1C1] | Grate Guy
250708 | 251908 | 2547AC | 2B1000 | 252126 | 26E8FD | [1C2] | Bundt
25070C | 251C10 | 257416 | 2F5A40 | 2520C9 | 2667FE | [1C3] | Jinx (1st time)
250710 | 251C10 | 257416 | 2F5A40 | 2520CC | 26696A | [1C4] | Jinx (2nd time)
250714 | 251C30 | 257632 | 2FD580 | 25213E | 26FAF5 | [1C5] | Count Down
250718 | 251C34 | 257650 | 2FE2C0 | 252144 | 270357 | [1C6] | Ding-A-Ling
25071C | 2518B4 | 254248 | 2A0D20 | 2520A5 | 2633C6 | [1C7] | Belome (1st time)
250720 | 2518B4 | 254248 | 2A0D20 | 2520A5 | 2633C6 | [1C8] | Belome (2nd time)
250724 | 2518B4 | 254248 | 2A0D20 | 2520A5 | 2633C6 | [1C9] | __Belome
250728 | 251818 | 2532D0 | 283FE0 | 252105 | 26C17F | [1CA] | Smilax
25072C | 251818 | 2532D0 | 283FE0 | 252102 | 26BFAF | [1CB] | Thrax        
250730 | 251818 | 2532D0 | 283FE0 | 252108 | 26C210 | [1CC] | Megasmilax
250734 | 251920 | 25498C | 2B3860 | 252156 | 270A60 | [1CD] | Birdo
250738 | 251950 | 254D88 | 2BA0C0 | 25218C | 274656 | [1CE] | Eggbert
25073C | 251968 | 254F68 | 2BD4A0 | 2521B6 | 2789BB | [1CF] | Axem Yellow
250740 | 251C1C | 2574CA | 2F8D80 | 25210E | 26C8F2 | [1D0] | Punchinello
250744 | 2518F4 | 2546DA | 2AE5A0 | 2520F9 | 26B94F | [1D1] | Tentacles (right)
250748 | 25195C | 254DE2 | 2BB6E0 | 2521AD | 277FC6 | [1D2] | Axem Red
25074C | 25196C | 254FE0 | 2BDFE0 | 2521B9 | 278D67 | [1D3] | Axem Green
250750 | 251944 | 254BA8 | 2B8740 | 25217A | 272C74 | [1D4] | King Bomb
250754 | 251948 | 254C7A | 2B9140 | 252180 | 272E2E | [1D5] | Mezzo Bomb
250758 | 2518AC | 2541D0 | 2A0000 | 252129 | 26EA9C | [1D6] | __Bundt object
25075C | 251900 | 254770 | 2B0000 | 25212C | 26EAEC | [1D7] | Raspberry
250760 | 2518F0 | 2546BC | 2AD780 | 2520F6 | 26B3F6 | [1D8] | King Calamari
250764 | 2518F8 | 2546F8 | 2AEB40 | 2520FC | 26BBD3 | [1D9] | Tentacles (left)
250768 | 251C10 | 257416 | 2F5A40 | 2520C6 | 26673D | [1DA] | Jinx (3rd time)
25076C | 2518D8 | 254536 | 2A7CC0 | 2520CF | 266BCB | [1DB] | Zombone
250770 | 2518D8 | 254554 | 2A7CC0 | 2520D2 | 2671A2 | [1DC] | Czar Dragon
250774 | 251C20 | 25759C | 2F9720 | 252114 | 26CF6E | [1DD] | Cloaker (1st time)
250778 | 251C24 | 2575BA | 2FA840 | 252117 | 26D337 | [1DE] | Domino (2nd time)
25077C | 251C28 | 2575D8 | 2FB800 | 25211A | 26D8FA | [1DF] | Mad Adder
250780 | 251C58 | 25786C | 304920 | 2520F3 | 26B0EA | [1E0] | Mack
250784 | 2518E8 | 254644 | 2AC320 | 25216B | 271F3C | [1E1] | Bodyguard
250788 | 2518E0 | 2545AE | 2AA3C0 | 2520E1 | 2691AF | [1E2] | Yaridovich
25078C | 251938 | 254AF4 | 2B6B60 | 252171 | 27255E | [1E3] | Drill Bit
250790 | 251964 | 254ED2 | 2BCB20 | 2521B3 | 2785D6 | [1E4] | Axem Pink
250794 | 251960 | 254E5A | 2BC160 | 2521B0 | 2782AC | [1E5] | Axem Black
250798 | 251C54 | 257830 | 303220 | 2520ED | 26A3B7 | [1E6] | Bowyer
25079C | 25193C | 254B4E | 2B75C0 | 252174 | 272808 | [1E7] | Aero
2507A0 | 251954 | 254DA6 | 2BA240 | 25218F | 2746E8 | [1E8] | __Exor (mouth)
2507A4 | 251984 | 2551FC | 2C0B40 | 2521C8 | 279B37 | [1E9] | Exor
2507A8 | 251C5C | 2578A8 | 305960 | 25219B | 275582 | [1EA] | Smithy (1st Form)
2507AC | 251C5C | 2578A8 | 305960 | 25219E | 275A0D | [1EB] | Shyper
2507B0 | 251C64 | 257902 | 3077A0 | 2521A1 | 276256 | [1EC] | Smithy (Body)
2507B4 | 251C68 | 257920 | 308F80 | 2521A4 | 276A19 | [1ED] | Smithy (Head)
2507B8 | 251C6C | 25793E | 309B60 | 2521A7 | 2776D0 | [1EE] | Smithy (Magic Head)
2507BC | 251C70 | 25795C | 30A600 | 2521AA | 277CEC | [1EF] | Smithy (Chest Head)
2507C0 | 251B98 | 256BE2 | 2E5940 | 252351 | 364C04 | [1F0] | Croco (1st time)
2507C4 | 251B98 | 256BE2 | 2E5940 | 252351 | 364C04 | [1F1] | Croco (2nd time)
2507C8 | 251B98 | 256BE2 | 2E5940 | 252351 | 364C04 | [1F2] | __Croco
2507CC | 251C28 | 2575F6 | 2FB800 | 25211A | 26D8FA | [1F3] | Earth Link
2507D0 | 251CA4 | 257DD0 | 318200 | 2522FA | 360D58 | [1F4] | Bowser
2507D4 | 251974 | 2550D0 | 2BE8E0 | 2521BF | 279133 | [1F5] | Axem Rangers
2507D8 | 251B9C | 256C00 | 2E6D80 | 25235A | 365169 | [1F6] | Booster
2507DC | 251B9C | 256C00 | 2E6D80 | 25235A | 365169 | [1F7] | Booster
2507E0 | 251C18 | 2574AC | 2F7A60 | 2520E4 | 269C54 | [1F8] | Snifit
2507E4 | 25188C | 253F3C | 299480 | 2520DB | 268414 | [1F9] | Johnny
2507E8 | 25188C | 253F5A | 299480 | 2520DB | 268414 | [1FA] | Johnny
2507EC | 251C2C | 257614 | 2FC700 | 252120 | 26E121 | [1FB] | Valentina
2507F0 | 251C20 | 25759C | 2F9720 | 252192 | 27472E | [1FC] | Cloaker (2nd time)
2507F4 | 251C24 | 2575BA | 2FA840 | 252198 | 274DFF | [1FD] | Domino (2nd time)
2507F8 | 251908 | 2547AC | 2B1000 | 252123 | 26E780 | [1FE] | Candle
2507FC | 251958 | 254DC4 | 2BA560 | 252195 | 274C7C | [1FF] | Culex
=======================================================================

   ///=======\
 ///  EFFECTS |
=======================================================================
OBJECT   PTRS --- PAL ---- GFX      PTRS --- MOLD     BYTE    OBJECT ID
-------------------------------------------------------------------------------------------------------
250800 | 251990 | 255256 | 2C10A0 | 2521EC | 27AFD4 | [200] | A/B/X/Y action button selection in battle
250804 | 2519F0 | 255724 | 2C5100 | 25223D | 27C33F | [201] | Rainbow Explosion
250808 | 2519F0 | 255742 | 2C5100 | 25223D | 27C33F | [202] | Blue Explosion
25080C | 2519F0 | 255760 | 2C5100 | 25223D | 27C33F | [203] | Green Explosion
250810 | 2519CC | 2554EA | 2C3140 | 252222 | 27BCF7 | [204] | Enemy Defeated Explosion Stars
250814 | 2519E4 | 2555F8 | 2C46C0 | 252234 | 27C164 | [205] | Bomb Explosion
250818 | 2519E8 | 2556CA | 2C4AE0 | 252237 | 27C28F | [206] | Small White Cloud
25081C | 2519F0 | 255706 | 2C5100 | 25223D | 27C33F | [207] | Drain Explosion
250820 | 2519EC | 2556E8 | 2C4D20 | 25223A | 27C2F0 | [208] | alphabet + symbols
250824 | 2519F4 | 25577E | 2C5500 | 252240 | 27C471 | [209] | light blue stars
250828 | 251A38 | 255AC6 | 2C8280 | 252273 | 27D31C | [20A] | Come Back rainbow star
25082C | 2519F8 | 25579C | 2C5620 | 252243 | 27C49B | [20B] | yellow cure stars
250830 | 251800 | 253000 | 280000 | 252000 | 259000 | [20C] | ....
250834 | 251A3C | 255B02 | 2C8360 | 252276 | 27D3DB | [20D] | Bowyer's arrow
250838 | 251998 | 255292 | 2C16E0 | 2521F2 | 27B158 | [20E] | yellow steam?
25083C | 251A44 | 255B3E | 2C86A0 | 25227C | 27D4C7 | [20F] | small black bullet
250840 | 2519FC | 255814 | 2C56C0 | 252246 | 27C657 | [210] | very small black bullet
250844 | 251A40 | 255B20 | 2C8480 | 252279 | 27D46B | [211] | HP Rain cloud
250848 | 251A4C | 255BB6 | 2C8CE0 | 252282 | 27D5C3 | [212] | stat-boost arrows
25084C | 2519D0 | 255508 | 2C3620 | 252225 | 27BE5E | [213] | black rolling coal rock
250850 | 2519E0 | 255580 | 2C44E0 | 252231 | 27C119 | [214] | blue spark
250854 | 2519E0 | 25559E | 2C44E0 | 252231 | 27C119 | [215] | yellow spark
250858 | 2519E0 | 2555BC | 2C44E0 | 252231 | 27C119 | [216] | green spark
25085C | 2519E0 | 2555DA | 2C44E0 | 252231 | 27C119 | [217] | red spark
250860 | 251A00 | 255832 | 2C56E0 | 252249 | 27C673 | [218] | rainbow rain
250864 | 251A08 | 25586E | 2C6120 | 25224F | 27C8CB | [219] | mushroom spores
250868 | 251A48 | 255B5C | 2C8740 | 25227F | 27D513 | [21A] | Lazy Shell (Heavy Troopa)
25086C | 251A48 | 255B7A | 2C8740 | 25227F | 27D513 | [21B] | Orange Lazy Shell
250870 | 251A48 | 255B98 | 2C8740 | 25227F | 27D513 | [21C] | Green Lazy Shell (Tub-O-Troopa)
250874 | 251A50 | 255BD4 | 2C8EE0 | 252285 | 27D71E | [21D] | Snowy eyes
250878 | 251A5C | 255C88 | 2C9F40 | 25228E | 27DA34 | [21E] | blinking yellow light circle
25087C | 251A10 | 2558AA | 2C68A0 | 252255 | 27CB9D | [21F] | purple petal
250880 | 251A14 | 2558C8 | 2C6AE0 | 252258 | 27CCA1 | [220] | small pink petal
250884 | 251A18 | 2558E6 | 2C6B80 | 25225B | 27CD71 | [221] | thrown hammer
250888 | 251A1C | 255904 | 2C70A0 | 25225E | 27CDFD | [222] | Bombs Away electric ball
25088C | 251A9C | 255FD0 | 2CBF60 | 2522BE | 27E43E | [223] | Fire Orb fireball
